"release_clause_eur_m","overall","potential","wage_eur_m","movement_reactions","skill_ball_control","age","value_eur_m"
0.38,54,64,0.0432,54,38,21,0.23
2.7,65,72,0.048,53,64,22,1.4
41.8,77,85,1.728,77,68,21,22
5,64,85,0.048,61,64,18,1.8
0.839,57,74,0.024,44,59,18,0.425
2.4,62,75,0.096,58,65,19,0.9
2.8,69,69,1.104,69,68,28,1.4
27.5,78,80,1.536,76,69,25,15.5
0.302,51,64,0.144,48,43,20,0.13
5,73,73,0.912,71,75,31,2.5
2,63,75,0.096,66,65,21,1.2
81.9,85,85,2.208,84,84,31,39
2.6,64,71,0.024,60,55,21,1.1
0.764,56,67,0.024,58,56,21,0.325
3.1,64,75,0.024,64,65,19,1.3
2.1,63,75,0.048,56,65,21,1.2
1.1,61,71,0.0312,48,42,22,0.7
1.3,58,71,0.024,58,55,19,0.475
0.62,58,65,0.048,53,60,24,0.4
1.9,69,69,0.0288,70,71,33,0.9
0.609,55,74,0.024,48,52,17,0.325
0.79,57,70,0.048,54,57,19,0.4
1.1,64,67,0.096,63,60,26,0.7
2.3,64,72,0.144,48,68,22,1.3
0.447,59,62,0.0264,57,53,25,0.275
3.6,72,72,0.72,70,73,29,2.3
0.248,52,60,0.0336,46,47,20,0.16
1.9,72,72,0.288,64,59,32,1.5
32.3,80,80,0.672,79,85,28,21.5
1.4,60,72,0.024,54,53,20,0.575
0.913,61,66,0.0432,47,67,24,0.5
1.1,66,66,0.288,62,39,29,0.725
2.2,66,72,0.144,65,63,24,1.4
1.6,66,66,0.24,64,65,27,0.9
1.8,63,72,0.096,48,60,20,1.1
1.5,66,66,0.192,64,66,28,0.85
1.1,65,65,0.096,63,50,27,0.65
8.3,73,75,0.864,67,74,24,4
1.4,61,71,0.048,58,58,20,0.725
2.1,61,75,0.024,62,60,20,0.75
15.2,74,83,0.672,74,76,22,9.5
24.3,78,78,1.488,77,79,30,13.5
3,69,72,0.624,65,70,26,1.8
2.5,70,72,0.432,67,49,28,1.6
4.9,72,72,0.0408,68,75,30,2.3
2.9,71,71,0.48,66,73,29,1.9
2,65,72,0.048,59,70,23,1.4
0.309,56,60,0.024,48,54,23,0.19
1.9,69,69,0.192,70,71,30,1.2
1.6,70,70,0.24,62,66,30,1.3
0.705,56,66,0.024,62,51,17,0.3
0.228,49,62,0.048,45,35,19,0.1
5,68,79,0.096,70,64,19,2.5
1.4,60,79,0.0336,56,63,18,0.625
2.7,72,72,0.816,69,68,31,1.7
31,78,83,0.912,78,83,24,21
36.4,79,82,2.4,76,70,25,20.5
0.14,49,56,0.024,49,33,23,0.09
0.469,54,73,0.024,49,47,18,0.25
0.456,59,61,0.048,55,39,24,0.25
0.405,64,64,0.096,58,56,33,0.3
1.4,67,68,0.24,59,42,29,0.95
1,59,69,0.0456,56,43,20,0.45
0.919,60,71,0.048,52,55,20,0.525
15,80,80,0.624,79,84,34,10
2.9,65,76,0.24,63,64,21,1.5
2,68,70,0.288,66,50,26,1.3
5,71,75,0.336,66,56,26,2.3
0.311,66,66,0.096,60,52,35,0.23
0.902,56,71,0.024,47,51,18,0.325
1.8,63,71,0.048,63,64,22,1.1
24.7,78,78,1.968,79,78,28,14.5
0.906,64,64,0.144,55,65,27,0.625
1.2,66,66,0.096,63,66,27,0.9
22.8,76,82,2.16,79,78,23,12
41.5,78,83,3.888,79,80,23,21
18.5,75,80,1.2,76,68,25,8.5
1.6,64,67,0.024,69,65,25,0.725
1.9,71,71,0.0408,62,72,34,0.875
1.8,69,69,0.192,71,71,30,1.2
72.8,83,83,3.84,83,83,30,35.5
1.5,71,71,0.48,70,72,33,0.975
3.2,70,71,0.288,69,65,25,1.9
1.4,61,74,0.0312,57,64,19,0.75
4.1,70,75,0.24,69,58,24,2.2
2,69,69,0.288,58,66,28,1.3
1.8,67,68,0.192,53,66,26,1.2
0.07,56,56,0.096,52,61,36,0.045
8.3,77,77,1.44,76,81,34,5
0.519,54,67,0.0408,48,60,20,0.25
3,67,74,0.192,62,63,21,2
0.875,64,64,0.048,55,61,29,0.5
3,72,72,0.72,73,50,31,1.6
