"release_clause_eur_m","international_reputation","power_stamina","defending_sliding_tackle","age","is_internacional.1","years_remaining","years_in_club","category.Delantero","value_eur_m"
0.38,1,59,55,21,0,0,3,1,0.23
2.7,1,59,71,22,0,1,1,0,1.4
41.8,1,65,77,21,1,3,2,1,22
5,1,66,64,18,0,3,2,1,1.8
0.839,1,57,18,18,0,1,1,1,0.425
2.4,1,67,59,19,0,2,1,1,0.9
2.8,1,76,19,28,0,1,2,1,1.4
27.5,1,77,74,25,0,2,2,0,15.5
0.302,1,60,46,20,0,4,3,1,0.13
5,2,75,44,31,0,1,1,0,2.5
2,1,50,56,21,0,0,3,1,1.2
81.9,3,91,84,31,1,1,4,0,39
2.6,1,65,58,21,0,3,3,1,1.1
0.764,1,60,58,21,0,-1,1,1,0.325
3.1,1,60,14,19,0,0,2,1,1.3
2.1,1,50,23,21,0,1,1,1,1.2
1.1,1,54,57,22,0,0,3,0,0.7
1.3,1,59,58,19,0,-1,1,1,0.475
0.62,1,70,46,24,0,1,1,1,0.4
1.9,1,62,13,33,0,0,1,1,0.9
0.609,1,40,12,17,0,1,2,1,0.325
0.79,1,72,52,19,0,2,1,0,0.4
1.1,1,65,64,26,0,0,1,0,0.7
2.3,1,62,34,22,0,2,1,1,1.3
0.447,1,72,61,25,0,0,2,0,0.275
3.6,1,78,48,29,0,1,4,0,2.3
0.248,1,62,52,20,0,0,2,1,0.16
1.9,1,72,68,32,0,4,1,0,1.5
32.3,2,87,44,28,0,1,4,0,21.5
1.4,1,55,59,20,0,2,1,0,0.575
0.913,1,60,58,24,0,0,1,1,0.5
1.1,1,65,66,29,0,0,1,0,0.725
2.2,1,71,22,24,0,2,2,1,1.4
1.6,1,91,59,27,0,2,2,0,0.9
1.8,1,56,27,20,0,-1,3,1,1.1
1.5,1,75,60,28,0,0,1,1,0.85
1.1,1,86,63,27,0,1,10,0,0.65
8.3,1,66,14,24,0,2,2,1,4
1.4,1,55,19,20,0,0,3,1,0.725
2.1,1,69,61,20,1,-1,4,0,0.75
15.2,1,74,40,22,0,4,1,1,9.5
24.3,2,79,34,30,0,1,5,0,13.5
3,1,76,67,26,0,1,2,1,1.8
2.5,1,73,68,28,0,-1,4,0,1.6
4.9,1,64,47,30,0,-1,1,1,2.3
2.9,1,74,23,29,0,1,1,1,1.9
2,1,63,50,23,0,1,2,0,1.4
0.309,1,56,51,23,0,-1,5,1,0.19
1.9,1,67,68,30,0,0,2,0,1.2
1.6,1,60,63,30,0,-1,7,0,1.3
0.705,1,57,21,17,0,-1,2,1,0.3
0.228,1,43,51,19,0,4,1,1,0.1
5,1,67,67,19,0,3,2,1,2.5
1.4,1,50,21,18,0,0,2,1,0.625
2.7,1,73,70,31,0,0,6,0,1.7
31,1,79,43,24,1,4,1,1,21
36.4,2,79,78,25,0,3,7,0,20.5
